Joueur,Adversaire,Nombre de rencontres,Nombre de victoires,% Victoire,Nombre de rencontres (hard),Nombre de victoires (hard),% Victoire (hard),Nombre de rencontres (clay),Nombre de victoires (clay),% Victoire (clay),Nombre de rencontres (grass),Nombre de victoires (grass),% Victoire (grass),Nombre de rencontres (various),Nombre de victoires (various),% Victoire (various),player_key,Rang,player_bday,Nombre titres total,Victoire totale,Victoire Hard,Victoire Clay,Victoire Grass,Age,% victoire général,% victoire hard,% victoire clay,% victoire grass,matches_won_top100,% victoire contre top 100
B. Krejcikova,A. Kalinina,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2801.0,1.0,18.12.1995,33.0,498.0,303.0,154.0,37.0,28.0,48.275862068965516,0.0,51.85185185185185,0.0,0.0,0.0
B. Krejcikova,J. Ostapenko,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2801.0,1.0,18.12.1995,33.0,498.0,303.0,154.0,37.0,28.0,48.275862068965516,0.0,51.85185185185185,0.0,0.0,0.0
B. Krejcikova,V. Azarenka,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2801.0,1.0,18.12.1995,33.0,498.0,303.0,154.0,37.0,28.0,48.275862068965516,0.0,51.85185185185185,0.0,0.0,0.0
B. Krejcikova,L. Samsonova,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2801.0,1.0,18.12.1995,33.0,498.0,303.0,154.0,37.0,28.0,48.275862068965516,0.0,51.85185185185185,0.0,0.0,0.0
B. Krejcikova,A. Sabalenka,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2801.0,1.0,18.12.1995,33.0,498.0,303.0,154.0,37.0,28.0,48.275862068965516,0.0,51.85185185185185,0.0,0.0,0.0
S. Alam,M. Mirdzhaliev,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,34810.0,1849.0,01.01.1970,0.0,14.0,12.0,0.0,0.0,54.0,14.285714285714285,16.666666666666664,0.0,0.0,0.0,0.0
M. Doi,A. Hartono,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2680.0,40.0,29.04.1991,12.0,386.0,272.0,80.0,34.0,33.0,62.06896551724138,62.857142857142854,61.111111111111114,66.66666666666666,0.0,0.0
A. Eala,T. Preston,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3490.0,0.0,23.05.2005,15.0,184.0,159.0,28.0,9.0,19.0,57.14285714285714,57.14285714285714,0.0,0.0,0.0,0.0
A. Eala,J. Riera,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3490.0,0.0,23.05.2005,15.0,184.0,159.0,28.0,9.0,19.0,57.14285714285714,57.14285714285714,0.0,0.0,0.0,0.0
A. Eala,E. Mertens,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3490.0,0.0,23.05.2005,15.0,184.0,159.0,28.0,9.0,19.0,57.14285714285714,57.14285714285714,0.0,0.0,0.0,0.0
E. Alexandrova,B. Andreescu,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.0,18.0,15.11.1994,11.0,347.0,233.0,77.0,37.0,29.0,27.27272727272727,20.0,33.33333333333333,0.0,233.0,67.14697406340058
E. Alexandrova,M. Frech,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.0,18.0,15.11.1994,11.0,347.0,233.0,77.0,37.0,29.0,27.27272727272727,20.0,33.33333333333333,0.0,233.0,67.14697406340058
E. Alexandrova,P. M. Tig,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.0,18.0,15.11.1994,11.0,347.0,233.0,77.0,37.0,29.0,27.27272727272727,20.0,33.33333333333333,0.0,233.0,67.14697406340058
E. Alexandrova,K. Birrell,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2392.0,18.0,15.11.1994,11.0,347.0,233.0,77.0,37.0,29.0,27.27272727272727,20.0,33.33333333333333,0.0,233.0,67.14697406340058
E. Alexandrova,J. Pegula,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.0,18.0,15.11.1994,11.0,347.0,233.0,77.0,37.0,29.0,27.27272727272727,20.0,33.33333333333333,0.0,233.0,67.14697406340058
E. Alexandrova,A. Sasnovich,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2392.0,18.0,15.11.1994,11.0,347.0,233.0,77.0,37.0,29.0,27.27272727272727,20.0,33.33333333333333,0.0,233.0,67.14697406340058
E. Alexandrova,C. Gauff,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2392.0,18.0,15.11.1994,11.0,347.0,233.0,77.0,37.0,29.0,27.27272727272727,20.0,33.33333333333333,0.0,233.0,67.14697406340058
E. Alexandrova,E. Bektas,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2392.0,18.0,15.11.1994,11.0,347.0,233.0,77.0,37.0,29.0,27.27272727272727,20.0,33.33333333333333,0.0,233.0,67.14697406340058
