player_key,player_name,player_country,player_bday,player_logo,season,type,rank,titles,matches_won,matches_lost,hard_won,hard_lost,clay_won,clay_lost,grass_won,grass_lost
26,A. Vangelova,Bulgaria,14.07.1993,,2012,singles,1111,0,1,5,1,3,0,2,,
26,A. Vangelova,Bulgaria,14.07.1993,,2011,singles,1174,0,0,1,,,0,1,,
26,A. Vangelova,Bulgaria,14.07.1993,,2023,doubles,448,0,19,27,3,2,16,25,,
26,A. Vangelova,Bulgaria,14.07.1993,,2023,singles,804,0,11,22,1,1,10,21,,
26,A. Vangelova,Bulgaria,14.07.1993,,2024,doubles,478,0,10,8,8,5,2,3,,
26,A. Vangelova,Bulgaria,14.07.1993,,2024,singles,874,0,1,7,1,4,0,3,,
27,M. Spigarelli,Italy,12.05.1992,,2022,doubles,1151,0,6,4,,,6,4,,
27,M. Spigarelli,Italy,12.05.1992,,2021,doubles,905,0,4,6,0,1,4,5,,
27,M. Spigarelli,Italy,12.05.1992,,2020,doubles,851,1,11,7,,,11,7,,
27,M. Spigarelli,Italy,12.05.1992,,2022,singles,884,0,7,15,1,1,6,14,,
27,M. Spigarelli,Italy,12.05.1992,,2021,singles,646,0,18,14,,,18,14,,
27,M. Spigarelli,Italy,12.05.1992,,2020,singles,642,1,16,9,,,16,9,,
27,M. Spigarelli,Italy,12.05.1992,,2016,singles,661,0,0,1,,,0,1,,
27,M. Spigarelli,Italy,12.05.1992,,2013,singles,1190,0,4,7,1,2,3,5,,
27,M. Spigarelli,Italy,12.05.1992,,2012,singles,880,0,5,9,0,2,5,7,,
27,M. Spigarelli,Italy,12.05.1992,,2011,singles,,0,0,1,,,0,1,,
27,M. Spigarelli,Italy,12.05.1992,,2023,doubles,851,0,4,11,1,7,3,4,,
27,M. Spigarelli,Italy,12.05.1992,,2023,singles,671,0,21,17,17,12,4,5,,
27,M. Spigarelli,Italy,12.05.1992,,2024,singles,666,0,0,1,0,1,,,,
28,D. Pavlou,Greece,21.04.2004,,2022,doubles,671,4,27,11,6,3,21,8,,
28,D. Pavlou,Greece,21.04.2004,,2021,doubles,1079,1,7,7,,,7,7,,
28,D. Pavlou,Greece,21.04.2004,,2020,doubles,,0,2,4,,,2,3,,
28,D. Pavlou,Greece,21.04.2004,,2022,singles,814,0,18,20,1,5,17,15,,
28,D. Pavlou,Greece,21.04.2004,,2021,singles,1284,0,5,9,,,5,9,,
28,D. Pavlou,Greece,21.04.2004,,2020,singles,,0,1,5,,,1,4,,
28,D. Pavlou,Greece,21.04.2004,,2023,doubles,427,1,23,13,1,2,22,11,,
28,D. Pavlou,Greece,21.04.2004,,2023,singles,413,2,27,21,0,1,27,20,,
28,D. Pavlou,Greece,21.04.2004,,2024,doubles,374,0,7,4,,,7,4,,
28,D. Pavlou,Greece,21.04.2004,,2024,singles,416,1,9,7,,,9,7,,
29,B. E. Barbulescu .,Romania,01.01.1970,,2022,doubles,1213,0,6,9,1,2,5,7,,
29,B. E. Barbulescu .,Romania,01.01.1970,,2021,doubles,,0,2,6,,,2,6,,
29,B. E. Barbulescu .,Romania,01.01.1970,,2022,singles,1240,0,5,11,1,1,4,10,,
