id_match,bookmaker,cote_Home,cote_Away
11950151,Unibet,6.75,1.12
11950151,Betfair,8.60,1.12
11950151,Betsson,6.60,1.11
11950151,188bet,7.00,1.09
11950151,Pncl,7.32,1.13
11950151,Sbo,5.54,1.08
11950151,1xbet,7.03,1.10
11950151,Betano,6.40,1.12
11950151,Betway,7.00,1.10
11950151,Tipico,7.20,1.08
11950151,Betcris,6.60,1.10
11950152,NordicBet,5.60,1.14
11950152,10Bet,5.50,1.12
11950152,bet365,6.00,1.12
11950152,Marathon,5.75,1.14
11950152,Unibet,6.00,1.12
11950152,Betfair,6.80,1.16
11950152,Betsson,5.60,1.14
11950152,188bet,6.00,1.12
11950152,Pncl,6.07,1.16
11950152,Sbo,4.44,1.13
11950152,1xbet,5.71,1.14
11950152,Betano,5.80,1.14
11950152,Betway,5.50,1.15
11950152,Tipico,6.50,1.10
11950152,Betcris,5.80,1.12
11950158,NordicBet,1.12,6.00
11950158,10Bet,1.12,5.50
11950158,bet365,1.11,6.50
11950158,Marathon,1.12,6.15
11950158,Unibet,1.14,6.00
11950158,Betfair,1.15,7.20
11950158,Betsson,1.12,6.00
11950158,188bet,1.10,6.60
11950158,Pncl,1.15,6.57
11950158,Sbo,1.08,5.16
11950158,1xbet,1.12,6.54
11950158,Betano,1.13,6.00
11950158,Betway,1.12,6.00
11950158,Tipico,1.08,7.20
11950158,Betcris,1.12,6.20
11950159,NordicBet,4.80,1.19
11950159,10Bet,4.33,1.20
11950159,bet365,4.33,1.22
11950159,Marathon,4.95,1.18
11950159,Unibet,4.35,1.22
11950159,Betfair,5.30,1.22
11950159,Betsson,4.80,1.19
11950159,188bet,4.70,1.18
11950159,Pncl,5.09,1.21
11950159,Sbo,4.12,1.16
11950159,1xbet,4.88,1.19
11950159,Betano,4.75,1.19
11950159,Betway,4.75,1.18
11950159,Tipico,4.10,1.22
11950159,Betcris,4.20,1.21
11950162,NordicBet,1.62,2.30
11950162,10Bet,1.70,2.10
11950162,bet365,1.61,2.30
