event_key,score_first,score_second,score_set
3460340,4,6,1
3460340,6,4,2
3460340,6,2,3
3460341,6.5,7.7,1
3460341,6,4,2
3460341,6,2,3
4701952,6,4,1
4701952,6,1,2
4701953,7.7,6.4,1
4701953,6,4,2
4701954,6,1,1
4701954,6,4,2
4701955,1,6,1
4701955,7.9,6.7,2
4701955,2,6,3
4701956,6,2,1
4701956,3,6,2
4701956,6,3,3
4701957,7,5,1
4701957,6,2,2
4701958,4,6,1
4701958,2,6,2
4701959,6,3,1
4701959,6,4,2
4555806,3,6,1
4555806,3,6,2
4555807,6,2,1
4555807,6,4,2
4555808,2,6,1
4555808,4,6,2
4555809,2,6,1
4555809,7.7,6.2,2
4555809,7.7,6.2,3
3440445,5,7,1
3440445,6,2,2
3440445,6,3,3
2787451,4,6,1
2787451,7.7,6.4,2
2787451,6.5,7.7,3
2787452,6.5,7.7,1
2787452,6.3,7.7,2
4544437,6.6,7.8,1
4544437,4,6,2
4544438,6,2,1
4544438,6,2,2
4544439,6.6,7.8,1
4544439,4,6,2
4544440,1,6,1
4544440,6.8,7.10,2
3440584,6,3,1
3440585,6.7,7.9,1
3440585,2,6,2
3440586,6,4,1
3440586,6,4,2
3440587,6,1,1
3440587,4,6,2
3460342,4,6,1
3460342,2,6,2
4701960,7,5,1
4701960,6,3,2
4701961,6,4,1
4701961,6,4,2
4701962,6,3,1
4701962,6,2,2
4701963,6,4,1
4701963,6,3,2
4544402,6.4,7.7,1
4544402,7.8,6.6,2
4544402,6,4,3
4544403,6.6,7.8,1
4544403,6,1,2
4544403,4,6,3
4544404,2,6,1
4544404,6.5,7.7,2
4544405,7.7,6.3,1
4544405,6,3,2
4544406,6,4,1
4544406,6,4,2
3440549,7.10,6.8,1
3440549,6,3,2
3440550,7.7,6.2,1
3440550,6.2,7.7,2
3440550,6.3,7.7,3
3440551,5,7,1
3440551,4,6,2
4701925,6,2,1
4701925,6.5,7.7,2
4701925,7.7,6.1,3
4701926,6,4,1
4701926,7,5,2
4701927,6.5,7.7,1
4701927,3,6,2
4555771,3,6,1
4555771,4,6,2
4555772,6.2,7.7,1
4555772,5,7,2
4555773,6,2,1
4555773,2,6,2
4555773,1,6,3
4555789,6,4,1
4555789,6.6,7.8,2
4555789,6,3,3
4555790,4,6,1
4555790,6.1,7.7,2
4544426,4,6,1
4544426,2,6,2
4544427,6,2,1
4544427,3,6,2
4544427,5,7,3
3440567,6,4,1
3440567,2,6,2
3440567,7,5,3
3440568,6.4,7.7,1
3440568,3,6,2
3440569,6,3,1
3440569,6,1,2
3440570,6,2,1
3440570,1,6,2
3440570,7.7,6.4,3
4701945,6,1,1
4701945,6,3,2
4701946,3,6,1
4701946,6,1,2
4701946,2,6,3
4701947,4,6,1
4701947,4,6,2
4701948,6,3,1
4701948,6,4,2
4555791,7,5,1
4555791,2,6,2
4555791,4,6,3
4555792,6.3,7.7,1
4555792,6,4,2
4555792,4,6,3
4555793,6,4,1
4555793,6,2,2
4555794,2,6,1
4555794,6,2,2
4555794,2,6,3
5614743,7,5,1
5614743,6,2,2
5614744,1,6,1
5614744,7,5,2
5614744,3,6,3
5614745,3,6,1
5614745,6,4,2
5614745,5,7,3
5614746,6,4,1
5614746,7,5,2
