event_key,event_date,event_time,event_first_player,first_player_key,event_first_player_logo,event_second_player,second_player_key,event_second_player_logo,event_final_result,event_game_result,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live
11904667,2023-10-14,13:10,W. Falkowska,164,https://api.api-tennis.com/logo-tennis/164_w-falkowska.jpg,C. Monnet,1831,,0 - 2,-,Second Player,Finished,Wta Singles,WTA Monastir,7961,WTA Monastir - Semi-finals,2023,0
11904668,2023-10-14,14:25,E. Jacquemot,1823,https://api.api-tennis.com/logo-tennis/1823_e-jacquemot.jpg,I. Burillo Escorihuela,1907,https://api.api-tennis.com/logo-tennis/1907_i-burillo-escorihuela.jpg,2 - 0,-,First Player,Finished,Wta Singles,WTA Monastir,7961,WTA Monastir - Semi-finals,2023,0
11904669,2023-10-14,15:00,S. Vickery,1790,https://api.api-tennis.com/logo-tennis/1790_s-vickery.jpg,A. Siskova,218,,2 - 0,-,First Player,Finished,Wta Singles,WTA Monastir,7961,WTA Monastir - Semi-finals,2023,0
11904670,2023-10-14,16:30,F. Ben Hassen,20377,,A. Eala,3490,https://api.api-tennis.com/logo-tennis/3490_a-eala.jpg,0 - 2,-,Second Player,Finished,Wta Singles,WTA Monastir,7961,WTA Monastir - Semi-finals,2023,0
11904717,2023-10-14,16:10,C. Perrin,448,https://api.api-tennis.com/logo-tennis/448_c-perrin.jpg,C. Rosatello,216,,1 - 2,-,Second Player,Finished,Wta Singles,WTA Monastir,7961,WTA Monastir - Semi-finals,2023,0
11904583,2023-10-14,04:10,J. Draper,7011,https://api.api-tennis.com/logo-tennis/7011_j-draper.jpg,Y. Shimizu,2100,,2 - 0,-,First Player,Finished,Atp Singles,ATP Tokyo,1223,ATP Tokyo - Semi-finals,2023,0
11904584,2023-10-14,04:10,M. Giron,1766,https://api.api-tennis.com/logo-tennis/1766_m-giron.jpg,K. Uchida,568,https://api.api-tennis.com/logo-tennis/568_k-uchida.jpg,2 - 0,-,First Player,Finished,Atp Singles,ATP Tokyo,1223,ATP Tokyo - Semi-finals,2023,0
11904585,2023-10-14,04:10,H. Moriya,3202,https://api.api-tennis.com/logo-tennis/3202_h-moriya.jpg,J. Rodionov,416,https://api.api-tennis.com/logo-tennis/416_j-rodionov.jpg,1 - 2,-,Second Player,Finished,Atp Singles,ATP Tokyo,1223,ATP Tokyo - Semi-finals,2023,0
11904586,2023-10-14,05:45,R. Noguchi,690,https://api.api-tennis.com/logo-tennis/690_r-noguchi.jpg,Wu Tung-Lin,1062,https://api.api-tennis.com/logo-tennis/1062_wu-tung-lin.jpg,2 - 1,-,First Player,Finished,Atp Singles,ATP Tokyo,1223,ATP Tokyo - Semi-finals,2023,0
11904587,2023-10-14,06:50,P. Sekulic,3316,,C. Garin,2071,https://api.api-tennis.com/logo-tennis/2071_c-garin.jpg,0 - 2,-,Second Player,Finished,Atp Singles,ATP Tokyo,1223,ATP Tokyo - Semi-finals,2023,0
11904588,2023-10-14,05:55,Y. Uchiyama,884,https://api.api-tennis.com/logo-tennis/884_y-uchiyama.jpg,B. Nakashima,2838,https://api.api-tennis.com/logo-tennis/2838_b-nakashima.jpg,2 - 1,-,First Player,Finished,Atp Singles,ATP Tokyo,1223,ATP Tokyo - Semi-finals,2023,0
11904589,2023-10-14,08:45,T. Daniel,2406,https://api.api-tennis.com/logo-tennis/2406_t-daniel.jpg,J. Jung,390,https://api.api-tennis.com/logo-tennis/390_j-jung.jpg,2 - 1,-,First Player,Finished,Atp Singles,ATP Tokyo,1223,ATP Tokyo - Semi-finals,2023,0
11904590,2023-10-14,08:20,R. Hijikata,3317,https://api.api-tennis.com/logo-tennis/3317_r-hijikata.jpg,N. Nakagawa,4136,https://api.api-tennis.com/logo-tennis/4136_n-nakagawa.jpg,2 - 0,-,First Player,Finished,Atp Singles,ATP Tokyo,1223,ATP Tokyo - Semi-finals,2023,0
