point_id,number_point,score,break_point,set_point,match_point
642,2,0 - 30,,,
643,3,0 - 40,,,
644,4,15 - 40,,,
645,1,15 - 0,,,
646,2,15 - 15,,,
647,3,15 - 30,,,
648,4,30 - 30,,,
649,5,30 - 40,First Play,,
650,1,15 - 0,,,
651,2,15 - 15,,,
652,3,15 - 30,,,
653,4,15 - 40,,,
654,5,30 - 40,,,
655,1,0 - 15,,,
656,2,0 - 30,,,
657,3,0 - 40,First Play,,
658,4,15 - 40,First Play,,
659,5,30 - 40,First Play,,
660,1,15 - 0,,,
661,2,15 - 15,,,
662,3,15 - 30,,,
663,4,30 - 30,,,
664,5,30 - 40,,,
665,1,15 - 0,,,
666,2,30 - 0,,,
667,3,30 - 15,,,
668,4,30 - 30,,,
669,5,40 - 30,,,
670,6,40 - 40,,,
671,7,A - 40,,,
672,8,40 - 40,,,
673,9,A - 40,,,
674,1,0 - 15,,,
675,2,15 - 15,,,
676,3,15 - 30,,,
677,4,15 - 40,,,
678,1,0 - 15,,,
679,2,15 - 15,,,
680,3,30 - 15,,,
681,4,30 - 30,,,
682,5,40 - 30,,,
683,6,40 - 40,,,
684,7,40 - A,First Play,,
685,8,40 - 40,,,
686,9,A - 40,,,
687,1,0 - 15,,,
688,2,15 - 15,,,
689,3,15 - 30,,,
690,4,15 - 40,,,
691,1,15 - 0,,,
692,2,30 - 0,,,
693,3,30 - 15,,,
694,4,40 - 15,,,
695,1,15 - 0,,,
696,2,15 - 15,,,
697,3,15 - 30,,,
698,4,15 - 40,,,
699,1,15 - 0,,,
700,2,30 - 0,,,
701,3,40 - 0,,,
702,1,0 - 15,,,
703,2,0 - 30,,,
704,3,15 - 30,,,
705,4,15 - 40,,,
706,1,15 - 0,,,
707,2,30 - 0,,,
708,3,40 - 0,,,
709,1,0 - 15,,,
710,2,0 - 30,,,
711,3,0 - 40,,,
712,4,15 - 40,,,
713,5,30 - 40,,,
714,1,15 - 0,,,
715,2,15 - 15,,,
716,3,30 - 15,,,
717,4,40 - 15,,,
718,1, - ,,,
719,1,15 - 0,,,
720,2,30 - 0,,,
721,3,40 - 0,First Play,,
722,1,15 - 0,,,
723,2,30 - 0,,,
724,3,40 - 0,,,
725,1,0 - 15,,,
726,2,15 - 15,,,
727,3,30 - 15,,,
728,4,40 - 15,First Play,,
729,5,40 - 30,First Play,,
730,1,15 - 0,,,
731,2,30 - 0,,,
732,3,30 - 15,,,
733,4,30 - 30,,,
734,5,40 - 30,,,
735,1,0 - 15,,,
736,2,15 - 15,,,
737,3,15 - 30,,,
738,4,30 - 30,,,
739,5,40 - 30,First Play,,
740,6,40 - 40,,,
741,7,A - 40,First Play,,
742,1,15 - 0,,,
743,2,30 - 0,,,
744,3,30 - 15,,,
745,4,40 - 15,,,
746,1,15 - 0,,,
747,2,30 - 0,,,
748,3,30 - 15,,,
749,4,30 - 30,,,
750,5,40 - 30,First Play,,
751,6,40 - 40,,,
752,7,A - 40,First Play,,
753,1,0 - 15,,,
754,2,15 - 15,,,
755,3,30 - 15,,,
756,4,40 - 15,,,
757,5,40 - 30,,,
758,1,15 - 0,,,
759,2,15 - 15,,,
760,3,30 - 15,,,
761,4,30 - 30,,,
762,5,30 - 40,,,
763,1,15 - 0,,,
764,2,30 - 0,,,
765,3,30 - 15,,,
766,4,40 - 15,,,
767,5,40 - 30,,,
768,1,0 - 15,,,
769,2,15 - 15,,,
770,3,15 - 30,,,
771,4,30 - 30,,,
772,5,30 - 40,,,
773,1,15 - 0,,,
774,2,30 - 0,,,
775,3,30 - 15,,,
776,4,30 - 30,,,
777,5,40 - 30,,,
778,1,0 - 15,,,
779,2,15 - 15,,,
780,3,30 - 15,,,
781,4,30 - 30,,,
782,5,30 - 40,,,
783,1,15 - 0,,,
784,2,15 - 15,,,
785,3,30 - 15,,,
786,4,40 - 15,,,
787,5,40 - 30,,,
788,1,15 - 0,,,
789,2,15 - 15,,,
790,3,30 - 15,,,
791,4,30 - 30,,,
792,5,40 - 30,First Play,First Play,First Play
793,6,40 - 40,,,
794,7,40 - A,,,
795,1,15 - 0,,,
796,2,30 - 0,,,
797,3,30 - 15,,,
798,4,30 - 30,,,
799,5,30 - 40,First Play,,
800,6,40 - 40,,,
801,7,A - 40,,First Play,First Play
802,1,0 - 15,,,
803,2,15 - 15,,,
804,3,15 - 30,,,
805,4,30 - 30,,,
806,5,30 - 40,,,
807,6,40 - 40,,,
808,7,40 - A,,,
809,1,15 - 0,,,
810,2,15 - 15,,,
811,3,30 - 15,,,
812,4,30 - 30,,,
813,5,30 - 40,First Play,,
814,6,40 - 40,,,
815,7,A - 40,,,
816,1,15 - 0,,,
817,2,30 - 0,,,
818,3,40 - 0,First Play,,
819,1,0 - 15,,,
820,2,0 - 30,,,
821,3,15 - 30,,,
822,4,30 - 30,,,
823,5,40 - 30,,,
824,6,40 - 40,,,
825,7,A - 40,,,
826,1,15 - 0,,,
827,2,15 - 15,,,
828,3,15 - 30,,,
829,4,15 - 40,,,
830,5,30 - 40,,,
831,6,40 - 40,,,
832,7,A - 40,First Play,,
833,1,0 - 15,,,
834,2,15 - 15,,,
835,3,30 - 15,,,
836,4,40 - 15,,,
837,1,0 - 15,,,
838,2,0 - 30,,,
839,3,15 - 30,,,
840,4,15 - 40,,,
841,5,30 - 40,,,
842,6,40 - 40,,,
843,7,40 - A,,,
844,1,15 - 0,,,
845,2,30 - 0,,,
846,3,40 - 0,,,
847,4,40 - 15,,,
848,5,40 - 30,,,
849,1,15 - 0,,,
850,2,15 - 15,,,
851,3,30 - 15,,,
852,4,30 - 30,,,
853,5,40 - 30,First Play,,
854,6,40 - 40,,,
855,7,A - 40,First Play,,
856,1,15 - 0,,,
857,2,30 - 0,,,
858,3,40 - 0,,,
859,4,40 - 15,,,
860,1,0 - 15,,,
861,2,15 - 15,,,
862,3,30 - 15,,,
863,4,40 - 15,First Play,,
864,1,15 - 0,,,
865,2,15 - 15,,,
866,3,30 - 15,,,
867,4,30 - 30,,,
868,5,40 - 30,,,
869,6,40 - 40,,,
870,7,A - 40,,,
871,1,0 - 15,,,
872,2,0 - 30,,,
873,3,0 - 40,,,
874,4,15 - 40,,,
875,1,15 - 0,,,
876,2,30 - 0,,,
877,3,30 - 15,,,
